Название монеты,Тикер,Ссылка,Цена 
Wrapped Harmony,WONE,https://coinmarketcap.com/currencies/wrapped-one/,0.114
Baby Doge Coin,BabyDoge,https://coinmarketcap.com/currencies/baby-doge-coin/,0.00
Australian Dollar Token,AUDT,https://coinmarketcap.com/currencies/australian-dollar-token/,0.72
Wrapped Elrond,WEGLD,https://coinmarketcap.com/currencies/wrapped-elrond-egld/,153.14
STEP,STEP,https://coinmarketcap.com/currencies/step/,0.05
WTF Token,WTF,https://coinmarketcap.com/currencies/wtf-token/,0.00
GMX,GMX,https://coinmarketcap.com/currencies/gmx/,31.91
Nation3,NATION,https://coinmarketcap.com/currencies/nation3/,2711.95
EMP Shares,ESHARE,https://coinmarketcap.com/currencies/emp-shares/,1739.74
Kunci Coin,KUNCI,https://coinmarketcap.com/currencies/kunci-coin/,0.20
Homeros,HMR,https://coinmarketcap.com/currencies/homeros/,0.02
MMPRO Token,MMPRO,https://coinmarketcap.com/currencies/mmpro-token/,0.55
Covenant,COVN,https://coinmarketcap.com/currencies/covenant-child/,9.35
StarSharks SEA,SEA,https://coinmarketcap.com/currencies/starsharks-sea/,0.13
JUNO,JUNO,https://coinmarketcap.com/currencies/juno/,15.17
Olympus v2,OHM,https://coinmarketcap.com/currencies/olympus/,26.10
3X Long Bitcoin Token,BULL,https://coinmarketcap.com/currencies/3x-long-bitcoin-token/,1844.95
RUSH COIN,RUSH,https://coinmarketcap.com/currencies/rush-coin/,0.02
MYCE,MYCE,https://coinmarketcap.com/currencies/my-ceremonial-event/,0.01
Eterna,EHX,https://coinmarketcap.com/currencies/eterna/,0.00
Angle Protocol,AGEUR,https://coinmarketcap.com/currencies/angle-protocol/,1.08
Milo Inu,MILO,https://coinmarketcap.com/currencies/milo-inu/,0.00
SafeMoon V2,SFM,https://coinmarketcap.com/currencies/safemoon-v2/,0.00
MContent,MCONTENT,https://coinmarketcap.com/currencies/mcontent/,0.00
Metastrike,MTS,https://coinmarketcap.com/currencies/metastrike/,0.09
OKC Token,OKT,https://coinmarketcap.com/currencies/okt/,43.74
Medano,MDO,https://coinmarketcap.com/currencies/medano/,0.02
Berry,BERRY,https://coinmarketcap.com/currencies/berry/,0.00
Melos Studio,MELOS,https://coinmarketcap.com/currencies/melos-studio/,0.14
fantomGO,FTG,https://coinmarketcap.com/currencies/fantomgo/,0.08
The Recharge,RCG,https://coinmarketcap.com/currencies/recharge/,1.94
Maya Preferred,MAYP,https://coinmarketcap.com/currencies/maya-preferred/,9020.17
pSTAKE Finance,PSTAKE,https://coinmarketcap.com/currencies/pstake-finance/,0.59
Seek Tiger,STI,https://coinmarketcap.com/currencies/seek-tiger/,1.70
StepD,STEPD,https://coinmarketcap.com/currencies/stepd/,0.00
PLC Ultima,PLCU,https://coinmarketcap.com/currencies/plc-ultima/,76851.96
Sportium,SPRT,https://coinmarketcap.com/currencies/sportium/,0.80
MetaFinance,MFI,https://coinmarketcap.com/currencies/metafinance/,235.06
METANOA,NOA,https://coinmarketcap.com/currencies/noa-play/,0.04
DEI,DEI,https://coinmarketcap.com/currencies/dei/,1.00
Aleph Zero,AZERO,https://coinmarketcap.com/currencies/aleph-zero/,2.54
CORE MultiChain,CMCX,https://coinmarketcap.com/currencies/core-multichain/,0.01
Pocket Network,POKT,https://coinmarketcap.com/currencies/pocket-network/,0.58
Staked LUNA,stLUNA,https://coinmarketcap.com/currencies/staked-luna/,92.81
MetaBomb,MTB,https://coinmarketcap.com/currencies/metabomb/,0.01
OVR,OVR,https://coinmarketcap.com/currencies/ovr/,1.37
Bxmi Token,BXMI,https://coinmarketcap.com/currencies/bxmi-token/,0.59
Bitkub Coin,KUB,https://coinmarketcap.com/currencies/bitkub-coin/,6.52
Tether EURt,EURT,https://coinmarketcap.com/currencies/tether-eurt/,1.08
Saitama,SAITAMA,https://coinmarketcap.com/currencies/saitama-inu/,0.00
CAKEPAD,CKP,https://coinmarketcap.com/currencies/cakepad/,0.00
KLAYswap Protocol,KSP,https://coinmarketcap.com/currencies/klayswap-protocol/,4.22
LABEL Foundation,LBL,https://coinmarketcap.com/currencies/label-foundation/,0.04
PointPay,PXP,https://coinmarketcap.com/currencies/pointpay/,0.02
DeFi Kingdoms Crystal,CRYSTAL,https://coinmarketcap.com/currencies/defi-kingdoms-crystal/,5.36
ADADOWN,ADADOWN,https://coinmarketcap.com/currencies/adadown/,0.01
Falcon Swaps,FALCONS,https://coinmarketcap.com/currencies/falcon-swaps/,0.04
Nurse Cat,NCAT,https://coinmarketcap.com/currencies/nurse-cat/,0.00
DarkCrypto,DARK,https://coinmarketcap.com/currencies/darkcrypto/,0.41
Gamestarter,GAME,https://coinmarketcap.com/currencies/gamestarter/,0.40
NFT Worlds,WRLD,https://coinmarketcap.com/currencies/nft-worlds/,0.18
Gym Network,GYMNET,https://coinmarketcap.com/currencies/gym-network/,0.66
MAD Bucks,MAD,https://coinmarketcap.com/currencies/mad-bucks/,19.29
Cryptounit,CRU,https://coinmarketcap.com/currencies/cryptounit/,0.01
QMALL TOKEN,QMALL,https://coinmarketcap.com/currencies/qmall-token/,0.70
Empire Token,EMPIRE,https://coinmarketcap.com/currencies/empire-token/,0.03
StarSharks (SSS),SSS,https://coinmarketcap.com/currencies/starsharks-sss/,7.04
BTCDOWN,BTCDOWN,https://coinmarketcap.com/currencies/btcdown/,0.01
MRHB DeFi,MRHB,https://coinmarketcap.com/currencies/marhabadefi/,0.04
Wirtual,WIRTUAL,https://coinmarketcap.com/currencies/wirtual/,0.70
Kishu Inu,KISHU,https://coinmarketcap.com/currencies/kishu-inu/,0.00
Galaxy War,GWT,https://coinmarketcap.com/currencies/galaxy-war/,0.01
Philcoin,PHL,https://coinmarketcap.com/currencies/philcoin/,0.46
Animal Concerts,ANML,https://coinmarketcap.com/currencies/animal-concerts/,0.01
Spectrum Token,SPEC,https://coinmarketcap.com/currencies/spectrum-token/,5.38
Synapse,SYN,https://coinmarketcap.com/currencies/synapse-2/,2.82
Major Protocol,MJR,https://coinmarketcap.com/currencies/major-protocol/,0.10
SpacePi,SPACEPI,https://coinmarketcap.com/currencies/spacepi/,0.00
Quantum Assets,QA,https://coinmarketcap.com/currencies/quantum-assets/,0.01
ENTERBUTTON,ENTC,https://coinmarketcap.com/currencies/enterbutton/,2.90
Stronger,STRNGR,https://coinmarketcap.com/currencies/stronger/,57.61
Massive Protocol,MAV,https://coinmarketcap.com/currencies/massive-protocol/,0.25
TAP FANTASY,TAP,https://coinmarketcap.com/currencies/tap-fantasy/,0.05
DOTDOWN,DOTDOWN,https://coinmarketcap.com/currencies/dotdown/,11.98
MeconCash,MCH,https://coinmarketcap.com/currencies/meconcash/,0.06
MM Optimizer,MMO,https://coinmarketcap.com/currencies/mm-optimizer/,10.55
Lucretius,LUC,https://coinmarketcap.com/currencies/lucretius/,0.02
Meta Kongz,MKC,https://coinmarketcap.com/currencies/meta-kongz/,5.01
Carbon,CO2,https://coinmarketcap.com/currencies/carbon-co2/,0.33
Realy,REAL,https://coinmarketcap.com/currencies/realy/,3.78
Wojak Finance,WOJ,https://coinmarketcap.com/currencies/wojak-finance/,0.04
Ronin,RON,https://coinmarketcap.com/currencies/ronin/,1.26
Plug Chain,PLUGCN,https://coinmarketcap.com/currencies/plug-chain/,0.147
Safuu,SAFUU,https://coinmarketcap.com/currencies/safuu/,198.72
Bombcrypto,BCOIN,https://coinmarketcap.com/currencies/bombcrypto/,0.1547
Meta MVRS,MVRS,https://coinmarketcap.com/currencies/meta-mvrs/,0.0000008377
CyberDragon Gold,GOLD,https://coinmarketcap.com/currencies/cyberdragon-gold/,0.007892
Pieme,PIE,https://coinmarketcap.com/currencies/pieme/,0.3989
Calo,CALO,https://coinmarketcap.com/currencies/calo-app/,0.2426
Tenset,10SET,https://coinmarketcap.com/currencies/tenset/,2.81
Erugo World Coin,EWC,https://coinmarketcap.com/currencies/erugo-world-coin/,1.76
Metasens,MSU,https://coinmarketcap.com/currencies/metasens/,1.71
BunnyPark,BP,https://coinmarketcap.com/currencies/bunnypark/,0.05
Gains Network,GNS,https://coinmarketcap.com/currencies/gains-network/,2.62
TrustFi Network,TFI,https://coinmarketcap.com/currencies/trustfi-network/,0.04
Equilibrium Games,EQ,https://coinmarketcap.com/currencies/eq/,0.25
Guzzler,GZLR,https://coinmarketcap.com/currencies/guzzler/,0.00
BTCUP,BTCUP,https://coinmarketcap.com/currencies/btcup/,35.31
Hector Finance,HEC,https://coinmarketcap.com/currencies/hector-dao/,21.98
Mars Protocol,MARS,https://coinmarketcap.com/currencies/mars-protocol/,1.13
Volt Inu V2,VOLT,https://coinmarketcap.com/currencies/volt-inu-v2/,0.00
CATCOIN,CATS,https://coinmarketcap.com/currencies/catcoin-token/,0.00
Bit2Me,B2M,https://coinmarketcap.com/currencies/bit2me/,0.03
MAGIC,MAGIC,https://coinmarketcap.com/currencies/magic-token/,1.69
KlayCity,ORB,https://coinmarketcap.com/currencies/klaycity/,0.26
GenesysGo Shadow,SHDW,https://coinmarketcap.com/currencies/genesysgo-shadow/,1.45
3X Short Bitcoin Token,BEAR,https://coinmarketcap.com/currencies/3x-short-bitcoin-token/,0.00
Decentralized Eternal Virtual Traveller,DEVT,https://coinmarketcap.com/currencies/decentralized-eternal-virtual-traveller/,0.27
SOUNI,SON,https://coinmarketcap.com/currencies/sovi-universe/,0.00
FloorDAO,FLOOR,https://coinmarketcap.com/currencies/floordao/,21.47
DOTUP,DOTUP,https://coinmarketcap.com/currencies/dotup/,1.39
BOT,BOT,https://coinmarketcap.com/currencies/bot-planet/,0.02
HUGHUG Coin,HGHG,https://coinmarketcap.com/currencies/hughug-coin/,0.20
Gas DAO,GAS,https://coinmarketcap.com/currencies/gas-dao/,0.00
Bitgert,BRISE,https://coinmarketcap.com/currencies/bitrise-token/,0.00
Lost Worlds,LOST,https://coinmarketcap.com/currencies/lost-worlds/,1.13
Apollo DAO,APOLLO,https://coinmarketcap.com/currencies/apollo-dao/,1.76
Bridge Network,BRDG,https://coinmarketcap.com/currencies/bridge-network/,0.42
LINKDOWN,LINKDOWN,https://coinmarketcap.com/currencies/linkdown/,0.01
GM Wagmi,GM,https://coinmarketcap.com/currencies/gm/,0.00
Gold Secured Currency,GSX,https://coinmarketcap.com/currencies/gold-secured-currency/,0.02
CanaryX,CNYX,https://coinmarketcap.com/currencies/canaryx/,0.00
Wizards And Dragons,GP,https://coinmarketcap.com/currencies/wizards-and-dragons/,0.00
HurricaneSwap Token,HCT,https://coinmarketcap.com/currencies/hurricaneswap-token/,0.01
HobbsNetworkToken,HNW,https://coinmarketcap.com/currencies/hobbsnetworktoken/,11.45
Sanji Inu,SANJI,https://coinmarketcap.com/currencies/sanji-inu/,0.00
Titan Hunters,TITA,https://coinmarketcap.com/currencies/titan-hunters/,0.06
Nexus Dubai,NXD,https://coinmarketcap.com/currencies/nexus-dubai/,1.92
Katana Inu,KATA,https://coinmarketcap.com/currencies/katana-inu/,0.00
EdenLoop,ELT,https://coinmarketcap.com/currencies/edenloop/,0.27
Staked NEAR,STNEAR,https://coinmarketcap.com/currencies/staked-near/,16.15
Sincere Cate,$SCATE,https://coinmarketcap.com/currencies/sincere-cate/,0.00
The Meebits,NMEEBITS,https://coinmarketcap.com/currencies/the-meebits/,0.02
Concordium,CCD,https://coinmarketcap.com/currencies/concordium/,0.04
JPEG'd,JPEG,https://coinmarketcap.com/currencies/jpeg-d/,0.00
GAMETREE,GTCOIN,https://coinmarketcap.com/currencies/gametree/,0.45
MixTrust,MXT,https://coinmarketcap.com/currencies/mixtrust/,0.00
ADAUP,ADAUP,https://coinmarketcap.com/currencies/adaup/,7.25
Lil Floki,LILFLOKI,https://coinmarketcap.com/currencies/lil-floki/,0.00
Golden Doge,GDOGE,https://coinmarketcap.com/currencies/golden-doge/,0.00
Vector Finance,VTX,https://coinmarketcap.com/currencies/vector-finance/,0.71
Kyoko,KYOKO,https://coinmarketcap.com/currencies/kyoko/,0.16
MICROCOSM,MIC,https://coinmarketcap.com/currencies/microcosm/,111.88
HyperVerse,HVT,https://coinmarketcap.com/currencies/hyperverse/,1.08
Emp Money,EMP,https://coinmarketcap.com/currencies/emp-money/,0.78
Treasure Under Sea,TUS,https://coinmarketcap.com/currencies/treasure-under-sea/,0.03
Stader,SD,https://coinmarketcap.com/currencies/stader/,4.42
Popsicle Finance,ICE,https://coinmarketcap.com/currencies/popsicle-finance/,2.12
QUINT,QUINT,https://coinmarketcap.com/currencies/quint/,0.26
GAIA Everworld,GAIA,https://coinmarketcap.com/currencies/gaia-everworld/,0.06
LEDGIS,LED,https://coinmarketcap.com/currencies/ledgis/,0.18
OUD,OUD,https://coinmarketcap.com/currencies/oud/,0.02
ETHUP,ETHUP,https://coinmarketcap.com/currencies/ethup/,31.95
VisionGame,VISION,https://coinmarketcap.com/currencies/vision-game/,0.04
Ref Finance,REF,https://coinmarketcap.com/currencies/ref-finance/,3.73
EverGrow Coin,EGC,https://coinmarketcap.com/currencies/evergrowcoin/,0.00
Chumbi Valley,CHMB,https://coinmarketcap.com/currencies/chumbi-valley/,0.01
Coinweb,CWEB,https://coinmarketcap.com/currencies/coinweb/,0.03
Hubble Protocol,HBB,https://coinmarketcap.com/currencies/hubble-protocol/,1.86
Bitcoin God,GOD,https://coinmarketcap.com/currencies/bitcoin-god/,3.51
Beldex,BDX,https://coinmarketcap.com/currencies/beldex/,0.09
Ertha,ERTHA,https://coinmarketcap.com/currencies/ertha/,0.05
IX Swap,IXS,https://coinmarketcap.com/currencies/ix-swap/,0.18
Natural Farm Union Protocol,NFUP,https://coinmarketcap.com/currencies/natural-farm-union-protocol/,0.19
ritestream,RITE,https://coinmarketcap.com/currencies/ritestream/,0.03
BENQI Liquid Staked AVAX,SAVAX,https://coinmarketcap.com/currencies/benqi-liquid-staked-avax/,72.63
Doge Killer,LEASH,https://coinmarketcap.com/currencies/doge-killer/,935.36
TRVL,TRVL,https://coinmarketcap.com/currencies/trvl/,0.18
MARBLEX,MBX,https://coinmarketcap.com/currencies/marblex/,40.16
Pancake Games,GCAKE,https://coinmarketcap.com/currencies/pancake-games/,0.00
Guild of Guardians,GOG,https://coinmarketcap.com/currencies/guild-of-guardians/,0.39
Bend DAO,BEND,https://coinmarketcap.com/currencies/bend-dao/,0.06
LINKUP,LINKUP,https://coinmarketcap.com/currencies/linkup/,0.10
Shibnobi,SHINJA,https://coinmarketcap.com/currencies/shibnobi/,0.00
Sphere Finance,SPHERE,https://coinmarketcap.com/currencies/sphere-finance/,0.03
Sheesha Finance [BEP20],SHEESHA,https://coinmarketcap.com/currencies/sheesha-finance-bep20/,86.41
Cryowar,CWAR,https://coinmarketcap.com/currencies/cryowar/,0.18
Digital Financial Exchange,DIFX,https://coinmarketcap.com/currencies/digital-financial-exchange/,0.35
The Phoenix,FIRE,https://coinmarketcap.com/currencies/the-phoenix/,87.98
Seesaw,SSW,https://coinmarketcap.com/currencies/seesaw/,0.02
ZoidPay,ZPAY,https://coinmarketcap.com/currencies/zoidpay/,0.99
Seesaw,SSW,https://coinmarketcap.com/currencies/seesaw/,0.02082
Pledge,PLGR,https://coinmarketcap.com/currencies/pledge/,0.002608
DeVolution,DEVO,https://coinmarketcap.com/currencies/devolution/,0.01751
Sunny Aggregator,SUNNY,https://coinmarketcap.com/currencies/sunny-aggregator/,0.002031
Netvrk,NTVRK,https://coinmarketcap.com/currencies/netvrk/,1.07
PegasusDollar,PES,https://coinmarketcap.com/currencies/pegasusdollar/,189.68
Tycoon Zone,TYCOON,https://coinmarketcap.com/currencies/tycoon-zone/,0.08336
Cornucopias,COPI,https://coinmarketcap.com/currencies/cornucopias/,0.04403
TRXDOWN,TRXDOWN,https://coinmarketcap.com/currencies/trxdown/,6.85
Welups Blockchain,WELUPS,https://coinmarketcap.com/currencies/welups-blockchain/,0.0003328
Terareum,TERA,https://coinmarketcap.com/currencies/terareum/,0.00
Rubix,RBT,https://coinmarketcap.com/currencies/rubix/,130.00
3X Long Ethereum Token,ETHBULL,https://coinmarketcap.com/currencies/3x-long-ethereum-token/,225.39
Metaverse VR,MEVR,https://coinmarketcap.com/currencies/metaversevr/,0.22
Neopin,NPT,https://coinmarketcap.com/currencies/neopin/,6.46
BSC TOOLS,TOOLS,https://coinmarketcap.com/currencies/bsc-tools/,0.05
Catgirl,CATGIRL,https://coinmarketcap.com/currencies/catgirl/,0.00
Zoro Inu,ZORO,https://coinmarketcap.com/currencies/zoro-inu/,0.00
Dopex,DPX,https://coinmarketcap.com/currencies/dopex/,1295.39
Altered State Token,ASTO,https://coinmarketcap.com/currencies/altered-state-token/,0.33
AgeOfGods,AOG,https://coinmarketcap.com/currencies/ageofgods/,0.11
VLaunch,VPAD,https://coinmarketcap.com/currencies/vlaunch/,0.28
Plato Farm (PLATO),PLATO,https://coinmarketcap.com/currencies/plato-farm-plato/,0.03
Degis,DEG,https://coinmarketcap.com/currencies/degis/,0.57
GreenZoneX,GZX,https://coinmarketcap.com/currencies/greenzonex/,0.00
CROWD,CWD,https://coinmarketcap.com/currencies/crowd/,0.07
XRPUP,XRPUP,https://coinmarketcap.com/currencies/xrpup/,0.95
ARTL,ARTL,https://coinmarketcap.com/currencies/artl/,0.29
XRPDOWN,XRPDOWN,https://coinmarketcap.com/currencies/xrpdown/,0.00
ISLAMICOIN,ISLAMI,https://coinmarketcap.com/currencies/islamicoin/,0.00
Gelato,GEL,https://coinmarketcap.com/currencies/gelato/,0.73
Celestial,CELT,https://coinmarketcap.com/currencies/celestial/,0.02
Wonderful Memories,WMEMO,https://coinmarketcap.com/currencies/wrapped-memory/,29459.99
PsyOptions,PSY,https://coinmarketcap.com/currencies/psy-options/,0.08
TVGCOIN,TVG,https://coinmarketcap.com/currencies/tvgcoin/,0.04
Domain,DMN,https://coinmarketcap.com/currencies/domain-coin/,0.00
Nakamoto Games,NAKA,https://coinmarketcap.com/currencies/nakamoto-games/,0.34
4JNET,4JNET,https://coinmarketcap.com/currencies/4jnet/,0.00
Scallop,SCLP,https://coinmarketcap.com/currencies/scallop/,0.67
Metavault,MVD,https://coinmarketcap.com/currencies/metavault/,10.67
Quartz,QUARTZ,https://coinmarketcap.com/currencies/sandclock/,7.44
Exist,EXIST,https://coinmarketcap.com/currencies/exist/,0.32
Guardian,GUARD,https://coinmarketcap.com/currencies/guardian/,8.81
Alkimi,$ADS,https://coinmarketcap.com/currencies/alkimi/,0.25
BlueArk,BRK,https://coinmarketcap.com/currencies/blueark/,0.01
Wrapped Moonbeam,WGLMR,https://coinmarketcap.com/currencies/wrapped-moonbeam/,3.46
KStarCoin,KSC,https://coinmarketcap.com/currencies/kstarcoin/,0.01
Unipilot,PILOT,https://coinmarketcap.com/currencies/unipilot/,2.65
0xDAO,OXD,https://coinmarketcap.com/currencies/0xdao/,0.01
Arenum,ARN,https://coinmarketcap.com/currencies/arenum/,0.52
Findora,FRA,https://coinmarketcap.com/currencies/findora/,0.01
Tiger shares,Tiger,https://coinmarketcap.com/currencies/tiger-shares/,1071.62
Senspark,SEN,https://coinmarketcap.com/currencies/senspark/,0.24
Hillstone Finance,HSF,https://coinmarketcap.com/currencies/hillstone/,3.68
Metaverse Face,MEFA,https://coinmarketcap.com/currencies/metaverse-face/,0.00
WonderHero,WND,https://coinmarketcap.com/currencies/wonderhero/,0.01
Zamzam,ZAMZAM,https://coinmarketcap.com/currencies/zamzam/,0.00
XIDO FINANCE,XIDO,https://coinmarketcap.com/currencies/xido-finance/,21.17
X2Y2,X2Y2,https://coinmarketcap.com/currencies/x2y2/,0.16
XELS,XELS,https://coinmarketcap.com/currencies/xels/,2.86
Maiar,MEX,https://coinmarketcap.com/currencies/maiar/,0.00
Acet,ACT,https://coinmarketcap.com/currencies/acet/,0.18
Wrapped Centrifuge,WCFG,https://coinmarketcap.com/currencies/wrapped-centrifuge/,0.48
Leonicorn Swap,LEOS,https://coinmarketcap.com/currencies/leonicorn-swap/,0.28
Orbitau Taureum,TAUM,https://coinmarketcap.com/currencies/orbitau/,0.14
BTRIPS,BTR,https://coinmarketcap.com/currencies/btrips/,0.08
MetaShooter,MHUNT,https://coinmarketcap.com/currencies/metashooter/,0.16
MetaSwap,MSC,https://coinmarketcap.com/currencies/metaswap/,290.30
Brazil National Fan Token,BFT,https://coinmarketcap.com/currencies/brazil-national-football-team-fan-token/,0.61
Genshiro,GENS,https://coinmarketcap.com/currencies/genshiro/,0.01
APWine Finance,APW,https://coinmarketcap.com/currencies/apwine-finance/,0.78
veDAO,WEVE,https://coinmarketcap.com/currencies/vedao/,0.02
Octopus Network,OCT,https://coinmarketcap.com/currencies/octopus-network/,2.12
TopManager,TMT,https://coinmarketcap.com/currencies/topmanager/,0.50
Lenda,LENDA,https://coinmarketcap.com/currencies/lenda/,0.01
Poken,PKN,https://coinmarketcap.com/currencies/poken/,0.02
New Paradigm Assets Solution,NPAS,https://coinmarketcap.com/currencies/new-paradigm-assets-solution/,5.76
Mecha Morphing,MAPE,https://coinmarketcap.com/currencies/mecha-morphing/,2.32
Tracer DAO,TCR,https://coinmarketcap.com/currencies/tracer-dao/,0.18
AssangeDAO,JUSTICE,https://coinmarketcap.com/currencies/assangedao/,0.00
Dark Frontiers,DARK,https://coinmarketcap.com/currencies/dark-frontiers/,0.23
AladdinDAO,ALD,https://coinmarketcap.com/currencies/aladdindao/,0.07
ETH Shiba,ETHSHIB,https://coinmarketcap.com/currencies/eth-shiba/,0.00
DEUS Finance,DEUS,https://coinmarketcap.com/currencies/deus-finance-2/,634.51
Tokyo AU,TOKAU,https://coinmarketcap.com/currencies/tokyo-au/,0.00
Brother Music Platform,BMP,https://coinmarketcap.com/currencies/brother-music-platform/,0.00
MoonDAO,MOONEY,https://coinmarketcap.com/currencies/mooney/,0.06
ForthBox,FBX,https://coinmarketcap.com/currencies/forthbox/,0.04
Lido for Solana,STSOL,https://coinmarketcap.com/currencies/lido-for-solana/,103.83
Monopoly Millionaire Game,MMG,https://coinmarketcap.com/currencies/monopoly-millionaire-game/,0.00
Orca,ORCA,https://coinmarketcap.com/currencies/orca/,1.92
CryptoMines Reborn,CRUX,https://coinmarketcap.com/currencies/cryptomines-reborn/,6.22
Nexus Protocol,PSI,https://coinmarketcap.com/currencies/nexus-protocol/,0.04
Supreme Finance,HYPE,https://coinmarketcap.com/currencies/hype/,0.01
Outer Ring MMO (GQ),GQ,https://coinmarketcap.com/currencies/outer-ring-mmo-gq/,0.03
Royal Gold,RGOLD,https://coinmarketcap.com/currencies/royal-gold/,0.29
Keeps Coin,KPC,https://coinmarketcap.com/currencies/keeps-blockchain/,0.03
INTERSTELLAR DOMAIN ORDER,IDO,https://coinmarketcap.com/currencies/interstellar-domain-order/,0.00
BITMIC,BMIC,https://coinmarketcap.com/currencies/bitmic/,2.03
ShibKiller,SHIBKILLER,https://coinmarketcap.com/currencies/shibkiller/,0.00
ShibKiller,SHIBKILLER,https://coinmarketcap.com/currencies/shibkiller/,0.000000005514
Realm,REALM,https://coinmarketcap.com/currencies/realm/,0.1893
VCGamers,VCG,https://coinmarketcap.com/currencies/vcgamers/,0.09047
Pollchain,POLL,https://coinmarketcap.com/currencies/pollchain/,0.04515
Platypus Finance,PTP,https://coinmarketcap.com/currencies/platypus-finance/,2.19
WAXE,WAXE,https://coinmarketcap.com/currencies/waxe/,275.08
Tokenplace,TOK,https://coinmarketcap.com/currencies/tokenplace/,0.03723
CUBE,ITAMCUBE,https://coinmarketcap.com/currencies/itam-cube/,0.5343
Lumerin,LMR,https://coinmarketcap.com/currencies/lumerin/,0.0874
Kiba Inu,KIBA,https://coinmarketcap.com/currencies/kiba-inu/,0.00003223
OBRok Token,OBROK,https://coinmarketcap.com/currencies/obrok-token/,0.00
Squid Game,SQUID,https://coinmarketcap.com/currencies/squid-game/,0.02
Agro Global,AGRO,https://coinmarketcap.com/currencies/agro-global/,0.00
NFT Art Finance,NFTART,https://coinmarketcap.com/currencies/nft-art-finance/,0.00
YuzuSwap,YUZU,https://coinmarketcap.com/currencies/yuzuswap/,0.09
TomTomCoin,TOMS,https://coinmarketcap.com/currencies/tomtomcoin/,0.03
Anonverse,ANON,https://coinmarketcap.com/currencies/anonverse/,0.00
GamiFi.GG,GMI,https://coinmarketcap.com/currencies/gamifi-gg/,0.01
Universe Crystal Gene,UCG,https://coinmarketcap.com/currencies/universe-crystal-gene/,0.00
Truebit,TRU,https://coinmarketcap.com/currencies/truebit/,0.19
Artex,ARTEX,https://coinmarketcap.com/currencies/artex/,0.01
SKY FRONTIER,GSKY,https://coinmarketcap.com/currencies/sky-frontier/,0.00
KINE,KINE,https://coinmarketcap.com/currencies/kine/,0.28
MarsDAO,MDAO,https://coinmarketcap.com/currencies/marsdao/,0.19
Pitbull,PIT,https://coinmarketcap.com/currencies/pitbull/,0.00
Izumi Finance,IZI,https://coinmarketcap.com/currencies/izumi-finance/,0.06
SocialGood,SG,https://coinmarketcap.com/currencies/socialgood/,0.21
FUTUREXCRYPTO,FXC,https://coinmarketcap.com/currencies/futurexcrypto/,1.35
Ctomorrow Platform,CTP,https://coinmarketcap.com/currencies/ctomorrow-platform/,0.03
New Earth Order Money,NEOM,https://coinmarketcap.com/currencies/new-earth-order-money/,25.04
Moola Celo USD,mCUSD,https://coinmarketcap.com/currencies/moola-celo-usd/,1.00
ArbiSmart,RBIS,https://coinmarketcap.com/currencies/arbismart/,0.91
UBXS Token,UBXS,https://coinmarketcap.com/currencies/ubxs/,0.23
Cryptogodz,GODZ,https://coinmarketcap.com/currencies/cryptogodz/,0.04
Cindrum,CIND,https://coinmarketcap.com/currencies/cindrum/,0.01
Mineral,MNR,https://coinmarketcap.com/currencies/mineral/,0.00
Anchor bETH Token,BETH,https://coinmarketcap.com/currencies/anchor-beth-token/,2949.67
Modex,MODEX,https://coinmarketcap.com/currencies/modex/,0.18
EtherSmart,ETM,https://coinmarketcap.com/currencies/ethersmart/,0.02
POLARNODES,POLAR,https://coinmarketcap.com/currencies/polar-finance/,2.48
Beacon ETH,BETH,https://coinmarketcap.com/currencies/beacon-eth/,2881.14
Zombie Inu,ZINU,https://coinmarketcap.com/currencies/zombie-inu/,0.00
Good Games Guild,GGG,https://coinmarketcap.com/currencies/good-games-guild/,0.48
Jade Protocol,JADE,https://coinmarketcap.com/currencies/jade-protocol/,20.84
Amaze World,AMZE,https://coinmarketcap.com/currencies/amaze-world/,1.79
Hurricane NFT,NHCT,https://coinmarketcap.com/currencies/hurricane-nft/,0.37
Panda DAO,PANDA,https://coinmarketcap.com/currencies/pandadao/,0.01
Continuum Finance,CTN,https://coinmarketcap.com/currencies/continuum-finance/,1.69
Trisolaris,TRI,https://coinmarketcap.com/currencies/trisolaris/,0.63
Calamari Network,KMA,https://coinmarketcap.com/currencies/calamari-network/,0.01
Survival Game Online,SURV,https://coinmarketcap.com/currencies/survival-game-online/,0.01
HitBTC Token,HIT,https://coinmarketcap.com/currencies/hitbtc-token/,0.24
Duckie Land,MMETA,https://coinmarketcap.com/currencies/duckie-land/,0.50
Alpaca City,ALPA,https://coinmarketcap.com/currencies/alpaca-city/,0.08
WadzPay Token,WTK,https://coinmarketcap.com/currencies/wadzpay-token/,0.21
Railgun,RAIL,https://coinmarketcap.com/currencies/railgun/,2.95
PDX Coin,PDX,https://coinmarketcap.com/currencies/pdx-coin/,20.26
Redacted Cartel,BTRFLY,https://coinmarketcap.com/currencies/butterflydao/,159.74
Uno Re,UNO,https://coinmarketcap.com/currencies/unore/,0.19
Saber,SBR,https://coinmarketcap.com/currencies/saber/,0.02
NvirWorld,NVIR,https://coinmarketcap.com/currencies/nvirworld/,0.19
Symbiosis Finance,SIS,https://coinmarketcap.com/currencies/symbiosis-finance/,0.97
Spool DAO,SPOOL,https://coinmarketcap.com/currencies/spool-dao/,2.83
